role,name_nominative
Администрация 902 1 259 775,Моргун О.в.
Администрация городского,Клисак Н.а.
Администрация городского округа,Вовченко Г.о.
Администрация городского округа,Или Ф.и.
Администрация городского округа,Республика О.в.
Администрация городского округа,Яремчук И.и.
Администрация городского округа Донецкой Народной,Перепечаять Б.н.
Администрация городского округа Мариуполь,Перепечаять Б.н.
Администрация городского округа Мариуполь,Смольский В.л.
Администрация городского округа Мариуполь Донецкой Народной Республики,Перепечаять Б.н.
Администрация городского округа Мариуполь Донецкой Народной Республики,Цыба Л.в.
Администрация городского округа Мариуполь в случае,Перепечаять Б.н.
Администрация городского округа Мариуполь) в лице уполномоченных,Созыв О.г.
Администрация муниципального образования городского,Созыв Ю.а.
Глава 1. Общие положения,Республика О.в.
Глава I. Общие положения,Республика О.в.
Глава II. Требования к благоустройству,Коляска Т.п.
Глава вправе лично инициировать вопрос о присвоении почётного звания,Созыв О.г.
Глава городского округа Мариуполь (далее - Глава) и Председатель,Республика О.в.
Глава городского округа).,Республика А.в.
Глава городского округа).,Созыв Ю.а.
Глава городского округа.,Созыв Ю.а.
Глава городского округа;,Носенко О.г.
Глава муниципального образования,Калачева В.в.
Глава муниципального образования,Карпенко Е.в.
Глава муниципального образования,Кольцов А.в.
Глава муниципального образования,Перепечаять Б.н.
Глава муниципального образования,Республика А.в.
Глава муниципального образования,Республика О.в.
Глава муниципального образования,Смольский В.л.
Глава муниципального образования,Смольский Е.л.
Глава муниципального образования,Солодух Г.ю.
Глава муниципального образования,Цыба Л.в.
Глава муниципального образования $ докумеОГДЕ ‚,Цыба Л.в.
Глава муниципального образования 15 дОКУг‹ннт…нонного,Цыба Л.в.
Глава муниципального образования 3 noxyueMALMORHOrG,Цыба Л.в.
Глава муниципального образования Steen ^,Цыба Л.в.
Глава муниципального образования [al einer \. \,Цыба Л.в.
Глава муниципального образования _,Цыба Л.в.
Глава муниципального образования al Se S| >,Цыба Л.в.
Глава муниципального образования ОБЕСПЕЧЕНИЯ ) Ы,Цыба Л.в.
Глава муниципального образования ОТДЕЛ,Цыба Л.в.
Глава муниципального образования городского округа Мариуполь,Республика О.в.
Глава муниципального образования городского округа Мариуполь,Созыв О.г.
Глава муниципального образования документАЦИОННОГО\?,Перепечаять Б.н.
Глава муниципального образования оо ;‘\,Перепечаять Б.н.
Глава направляет материалы о награждении в Комиссию по наградам.,Фамилия И.о.
Глава округа,Созыв Ю.а.
Глава округа).,Узун Е.в.
Глава округа). Общественный,Республика О.в.
Заместитель атамана казачьего общества (включая первого заместителя,Сотникова Н. А.
Заместитель главы Администрации,Администрация Г.о.
Заместитель главы Администрации,Калачева В.в.
Заместитель главы Администрации,Моргун О.в.
Заместитель главы Администрации,Носенко О.г.
Заместитель главы Администрации,Смольский В.л.
Заместитель главы Администрации 28 938,Созыв О.г.
Заместитель начальника,Смольский Е.л.
Заместитель начальника У правления жилищно-,Или Ф.и.
Заместитель начальника У правления жилищно-,Республика Т.ю.
Заместитель начальника Управления жилищно-,Республика Т.ю.
Заместитель начальника отдела обеспечения,Мариуполь Е.в.
Заместитель председателя,Носенко О.г.
Заместитель председателя,Республика О.в.
Заместитель председателя Комиссии исполняет обязанности,Республика О.в.
Заместитель председателя комитета - Секацкий Виктор Владимирович,Созыв Ю.а.
Ответственный исполнитель,Смольский В.л.
Ответственный контроль за,Смольский В.л.
Председатель Мариупольского,Республика Ю. А.
Председатель Мариупольского городского,Республика О.в.
Председатель Мариупольского городского совета,Республика О.в.
Председатель Мариупольского городского совета,Созыв Ю.а.
Председатель ЩШЫШ \,Республика О.в.
Председатель цa*i*,Моргун О.в.
глава - муниципального образования  городского округа  Мариуполь,Цыба Л.в.
глава Администрации городского округа Мариуполь,Мариуполь А.в.
глава муниципального образования городского,Смольский Е.л.
глава муниципального образования городского,Цыба Л.в.
глава муниципального образования городского округа Мариуполь,Клисак Н.а.
глава округа) и Администрации городского,Республика О.в.
глава — муниципального,Цыба Л.в.
заместитель (товарищ) атамана  казачьего общества,Цыба Л.в.
заместитель (товарищ) атамана казачьего,Цыба Л.в.
заместитель - главы — Администрации — городского,Перепечаять Б.н.
заместитель атамана казачьего общества (pH наличии,Клисак Н.а.
заместитель атамана казачьего общества (при наличии и по решению высшего,Клисак Н.а.
заместитель главы,Администрация Г.о.
заместитель главы,Республика О.в.
заместитель главы 30 771,Республика О.в.
заместитель главы Администрации,Узун Е.в.
заместитель главы Администрации городского,Смольский Е.л.
заместитель главы Администрации городского,Теий М.н.
заместитель главы Администрации месяца 10.30 - 11.30,Полунин М.в.
заместитель главы Администрации месяца 11.00 - 12.00,Рбл А.и.
заместитель главы Администрации пятница 13:00 — 14:00,Шиян А.и.
заместитель главы администрации,Республика О.в.
заместитель председателя,Ивлев Н.ю.
заместитель председателя Комиссии,Калачева В.в.
заместитель председателя.,Мариуполь М.н.
заместитель руководителя Управы Жовтневого внутригородского,Калачева В.в.
заместитель руководителя Управы Орджоникидзевского,Смольский Е.л.
заместитель — начальника  отдела  приема — граждан,Мариуполь Е.в.
заместитель — руководителя — Управы — Приморского |,Смольский Е.л.
председатель - заместитель главы,Указать Ф.и.
председатель Мариупольского городского совета Донецкой Народной,Смольский Е.л.
председатель Совета осуществляет свои полномочия на,Созыв Р.в.
председатель городского совета,Республика Ю.а.
председатель городского совета Донецкой Народной Республики;,Моргун О.в.
председатель городского совета) по представлению депутата городского,Республика А. В.
председатель комиссии);,Указать Ф.и.
